Field,ID,Type (Type),default,en-US,ja-JP,zh-CN
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/ss2.png,listing_product_1.0.7.0/ss2.png,listing_product_1.0.7.0/ss2.png
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/ss3.png,listing_product_1.0.7.0/ss3.png,listing_product_1.0.7.0/ss3.png
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/ss4.png,listing_product_1.0.7.0/ss4.png,listing_product_1.0.7.0/ss4.png
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/ss5.png,listing_product_1.0.7.0/ss5.png,listing_product_1.0.7.0/ss5.png
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot11,110,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot12,111,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot13,112,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot14,113,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot15,114,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot16,115,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot17,116,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot18,117,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot19,118,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot20,119,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot21,120,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot22,121,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot23,122,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot24,123,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot25,124,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot26,125,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot27,126,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot28,127,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot29,128,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshot30,129,Relative path (or URL to file in Partner Center),,,,
DesktopScreenshotCaption1,150,Text,,Trigger & Action Designer for custom automations and action chaining,"(この言語でインストールされています。, )
カスタムオートメーションとアクションチェーンのためのトリガー＆アクションデザイナー","(以这种语言安装。, )
用于自定义自动化和动作链接的触发器和动作设计器"
DesktopScreenshotCaption2,151,Text,,"Horizontal/vertical layouts, list/grid view and multi-monitor support","(この言語でインストールされています。, )
水平/垂直レイアウト、リスト/グリッド ビュー、マルチモニターのサポート","(以这种语言安装。, )
水平/垂直布局、列表/网格视图和多显示器支持"
DesktopScreenshotCaption3,152,Text,,"Fully-featured clip editor with find/replace, rich text (tables, lists, links, etc.) text templating for quick, dynamic pasting from your snippet collection","(この言語でインストールされています。, )
検索/置換、リッチ テキスト (表、リスト、リンクなど) のテキスト テンプレートを備えたフル機能のクリップ エディターにより、スニペット コレクションからすばやく動的に貼り付けることができます。","(以这种语言安装。, )
功能齐全的剪辑编辑器，具有查找/替换、富文本（表格、列表、链接等）文本模板，可从片段集合中快速动态粘贴"
DesktopScreenshotCaption4,153,Text,,"Safe, secure and private local data storage with optional 2-factor password protection","(この言語でインストールされています。, )
オプションの 2 要素パスワード保護を備えた安全、セキュアなプライベート ローカル データ ストレージ","(以这种语言安装。, )
安全、可靠和私密的本地数据存储，具有可选的两因素密码保护"
DesktopScreenshotCaption5,154,Text,,Built-in plugin browser with an ever-growing community-driven library of plugins,"(この言語でインストールされています。, )
成長を続けるコミュニティ主導のプラグイン ライブラリを備えた組み込みプラグイン ブラウザ","(以这种语言安装。, )
内置插件浏览器，具有不断增长的社区驱动的插件库"
DesktopScreenshotCaption6,155,Text,,,,
DesktopScreenshotCaption7,156,Text,,,,
DesktopScreenshotCaption8,157,Text,,,,
DesktopScreenshotCaption9,158,Text,,,,
DesktopScreenshotCaption10,159,Text,,,,
DesktopScreenshotCaption11,160,Text,,,,
DesktopScreenshotCaption12,161,Text,,,,
DesktopScreenshotCaption13,162,Text,,,,
DesktopScreenshotCaption14,163,Text,,,,
DesktopScreenshotCaption15,164,Text,,,,
DesktopScreenshotCaption16,165,Text,,,,
DesktopScreenshotCaption17,166,Text,,,,
DesktopScreenshotCaption18,167,Text,,,,
DesktopScreenshotCaption19,168,Text,,,,
DesktopScreenshotCaption20,169,Text,,,,
DesktopScreenshotCaption21,170,Text,,,,
DesktopScreenshotCaption22,171,Text,,,,
DesktopScreenshotCaption23,172,Text,,,,
DesktopScreenshotCaption24,173,Text,,,,
DesktopScreenshotCaption25,174,Text,,,,
DesktopScreenshotCaption26,175,Text,,,,
DesktopScreenshotCaption27,176,Text,,,,
DesktopScreenshotCaption28,177,Text,,,,
DesktopScreenshotCaption29,178,Text,,,,
DesktopScreenshotCaption30,179,Text,,,,
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot2,201,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot3,202,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot4,203,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot5,204,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot6,205,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot7,206,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot8,207,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot9,208,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot10,209,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot11,210,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot12,211,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot13,212,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot14,213,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot15,214,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot16,215,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot17,216,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot18,217,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot19,218,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot20,219,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot21,220,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot22,221,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot23,222,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot24,223,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot25,224,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot26,225,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot27,226,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot28,227,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot29,228,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot30,229,Relative path (or URL to file in Partner Center),,,,
MobileScreenshotCaption1,250,Text,,,,
MobileScreenshotCaption2,251,Text,,,,
MobileScreenshotCaption3,252,Text,,,,
MobileScreenshotCaption4,253,Text,,,,
MobileScreenshotCaption5,254,Text,,,,
MobileScreenshotCaption6,255,Text,,,,
MobileScreenshotCaption7,256,Text,,,,
MobileScreenshotCaption8,257,Text,,,,
MobileScreenshotCaption9,258,Text,,,,
MobileScreenshotCaption10,259,Text,,,,
MobileScreenshotCaption11,260,Text,,,,
MobileScreenshotCaption12,261,Text,,,,
MobileScreenshotCaption13,262,Text,,,,
MobileScreenshotCaption14,263,Text,,,,
MobileScreenshotCaption15,264,Text,,,,
MobileScreenshotCaption16,265,Text,,,,
MobileScreenshotCaption17,266,Text,,,,
MobileScreenshotCaption18,267,Text,,,,
MobileScreenshotCaption19,268,Text,,,,
MobileScreenshotCaption20,269,Text,,,,
MobileScreenshotCaption21,270,Text,,,,
MobileScreenshotCaption22,271,Text,,,,
MobileScreenshotCaption23,272,Text,,,,
MobileScreenshotCaption24,273,Text,,,,
MobileScreenshotCaption25,274,Text,,,,
MobileScreenshotCaption26,275,Text,,,,
MobileScreenshotCaption27,276,Text,,,,
MobileScreenshotCaption28,277,Text,,,,
MobileScreenshotCaption29,278,Text,,,,
MobileScreenshotCaption30,279,Text,,,,
XboxScreenshot1,300,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot2,301,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot3,302,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot4,303,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot5,304,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot6,305,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot7,306,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot8,307,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot9,308,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot10,309,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot11,310,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot12,311,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot13,312,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot14,313,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot15,314,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot16,315,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot17,316,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot18,317,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot19,318,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot20,319,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot21,320,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot22,321,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot23,322,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot24,323,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot25,324,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot26,325,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot27,326,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot28,327,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot29,328,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot30,329,Relative path (or URL to file in Partner Center),,,,
XboxScreenshotCaption1,350,Text,,,,
XboxScreenshotCaption2,351,Text,,,,
XboxScreenshotCaption3,352,Text,,,,
XboxScreenshotCaption4,353,Text,,,,
XboxScreenshotCaption5,354,Text,,,,
XboxScreenshotCaption6,355,Text,,,,
XboxScreenshotCaption7,356,Text,,,,
XboxScreenshotCaption8,357,Text,,,,
XboxScreenshotCaption9,358,Text,,,,
XboxScreenshotCaption10,359,Text,,,,
XboxScreenshotCaption11,360,Text,,,,
XboxScreenshotCaption12,361,Text,,,,
XboxScreenshotCaption13,362,Text,,,,
XboxScreenshotCaption14,363,Text,,,,
XboxScreenshotCaption15,364,Text,,,,
XboxScreenshotCaption16,365,Text,,,,
XboxScreenshotCaption17,366,Text,,,,
XboxScreenshotCaption18,367,Text,,,,
XboxScreenshotCaption19,368,Text,,,,
XboxScreenshotCaption20,369,Text,,,,
XboxScreenshotCaption21,370,Text,,,,
XboxScreenshotCaption22,371,Text,,,,
XboxScreenshotCaption23,372,Text,,,,
XboxScreenshotCaption24,373,Text,,,,
XboxScreenshotCaption25,374,Text,,,,
XboxScreenshotCaption26,375,Text,,,,
XboxScreenshotCaption27,376,Text,,,,
XboxScreenshotCaption28,377,Text,,,,
XboxScreenshotCaption29,378,Text,,,,
XboxScreenshotCaption30,379,Text,,,,
HolographicScreenshot1,400,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot2,401,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot3,402,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot4,403,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot5,404,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot6,405,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot7,406,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot8,407,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot9,408,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot10,409,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot11,410,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot12,411,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot13,412,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot14,413,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot15,414,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot16,415,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot17,416,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot18,417,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot19,418,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot20,419,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot21,420,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot22,421,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot23,422,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot24,423,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot25,424,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot26,425,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot27,426,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot28,427,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot29,428,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot30,429,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshotCaption1,450,Text,,,,
HolographicScreenshotCaption2,451,Text,,,,
HolographicScreenshotCaption3,452,Text,,,,
HolographicScreenshotCaption4,453,Text,,,,
HolographicScreenshotCaption5,454,Text,,,,
HolographicScreenshotCaption6,455,Text,,,,
HolographicScreenshotCaption7,456,Text,,,,
HolographicScreenshotCaption8,457,Text,,,,
HolographicScreenshotCaption9,458,Text,,,,
HolographicScreenshotCaption10,459,Text,,,,
HolographicScreenshotCaption11,460,Text,,,,
HolographicScreenshotCaption12,461,Text,,,,
HolographicScreenshotCaption13,462,Text,,,,
HolographicScreenshotCaption14,463,Text,,,,
HolographicScreenshotCaption15,464,Text,,,,
HolographicScreenshotCaption16,465,Text,,,,
HolographicScreenshotCaption17,466,Text,,,,
HolographicScreenshotCaption18,467,Text,,,,
HolographicScreenshotCaption19,468,Text,,,,
HolographicScreenshotCaption20,469,Text,,,,
HolographicScreenshotCaption21,470,Text,,,,
HolographicScreenshotCaption22,471,Text,,,,
HolographicScreenshotCaption23,472,Text,,,,
HolographicScreenshotCaption24,473,Text,,,,
HolographicScreenshotCaption25,474,Text,,,,
HolographicScreenshotCaption26,475,Text,,,,
HolographicScreenshotCaption27,476,Text,,,,
HolographicScreenshotCaption28,477,Text,,,,
HolographicScreenshotCaption29,478,Text,,,,
HolographicScreenshotCaption30,479,Text,,,,
SurfaceHubScreenshot11,510,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot12,511,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot13,512,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot14,513,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot15,514,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot16,515,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot17,516,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot18,517,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot19,518,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot20,519,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot21,520,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot22,521,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot23,522,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot24,523,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot25,524,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot26,525,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot27,526,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot28,527,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot29,528,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshot30,529,Relative path (or URL to file in Partner Center),,,,
SurfaceHubScreenshotCaption11,560,Text,,,,
SurfaceHubScreenshotCaption12,561,Text,,,,
SurfaceHubScreenshotCaption13,562,Text,,,,
SurfaceHubScreenshotCaption14,563,Text,,,,
SurfaceHubScreenshotCaption15,564,Text,,,,
SurfaceHubScreenshotCaption16,565,Text,,,,
SurfaceHubScreenshotCaption17,566,Text,,,,
SurfaceHubScreenshotCaption18,567,Text,,,,
SurfaceHubScreenshotCaption19,568,Text,,,,
SurfaceHubScreenshotCaption20,569,Text,,,,
SurfaceHubScreenshotCaption21,570,Text,,,,
SurfaceHubScreenshotCaption22,571,Text,,,,
SurfaceHubScreenshotCaption23,572,Text,,,,
SurfaceHubScreenshotCaption24,573,Text,,,,
SurfaceHubScreenshotCaption25,574,Text,,,,
SurfaceHubScreenshotCaption26,575,Text,,,,
SurfaceHubScreenshotCaption27,576,Text,,,,
SurfaceHubScreenshotCaption28,577,Text,,,,
SurfaceHubScreenshotCaption29,578,Text,,,,
SurfaceHubScreenshotCaption30,579,Text,,,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/StoreLogo_720x1080.png,listing_product_1.0.7.0/StoreLogo_720x1080.png,listing_product_1.0.7.0/StoreLogo_720x1080.png
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/StoreLogo_1080x1080.png,listing_product_1.0.7.0/StoreLogo_1080x1080.png,listing_product_1.0.7.0/StoreLogo_1080x1080.png
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/StoreLogo_300x300.png,listing_product_1.0.7.0/StoreLogo_300x300.png,listing_product_1.0.7.0/StoreLogo_300x300.png
OverrideLogosForWin10,603,True/False,,True,True,True
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/StoreLogo_150x150.png,listing_product_1.0.7.0/StoreLogo_150x150.png,listing_product_1.0.7.0/StoreLogo_150x150.png
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/StoreLogo_71x71.png,listing_product_1.0.7.0/StoreLogo_71x71.png,listing_product_1.0.7.0/StoreLogo_71x71.png
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/StoreLogo_1920x1080.png,listing_product_1.0.7.0/StoreLogo_1920x1080.png,listing_product_1.0.7.0/StoreLogo_1920x1080.png
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,,,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,,,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,,,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,,,
Feature1,700,Text,,"● Simple and friendly interface with both horizontal/vertical layouts, list/grid view and multi-monitor support",● 水平/垂直レイアウト、リスト/グリッド ビュー、マルチ モニター サポートを備えたシンプルでフレンドリーなインターフェイス,● 简单友好的界面，具有水平/垂直布局、列表/网格视图和多显示器支持
Feature2,701,Text,,"● Both light & dark themes are completely dynamic, use any color you want",● 明るいテーマと暗いテーマは両方とも完全に動的で、必要な色を使用できます,● 浅色和深色主题都是完全动态的，使用任何你想要的颜色
Feature3,702,Text,,"● Integrated help & hints right in the interface. Online manual, videos and forum to get you started all on the website (monkeypaste.com/docs)",● インターフェース内に統合されたヘルプとヒント。,● 界面中集成的帮助和提示。
Feature4,703,Text,,"● Optimized for performance and stressed tested with 1,000,000s of clips.",●パフォーマンスを最適化し、100万個のクリップによるストレステストを実施。,"● 针对性能进行了优化，并通过 1,000,000 个剪辑进行了压力测试。"
Feature5,704,Text,,"● Anytime search, just start typing using both simple & advanced filtering on clips and their sources over dozens of fields",● 検索はいつでも、数十のフィールドにわたるクリップとそのソースに対するシンプルかつ高度なフィルタリングを使用して入力を開始するだけです,● 随时搜索，只需开始输入即可使用简单和高级过滤对剪辑及其来源进行数十个字段的搜索
Feature6,705,Text,,● Organize your clips in tag trees and create resusable filters,● タグ ツリーでクリップを整理し、再利用可能なフィルタを作成します,● 在标签树中组织剪辑并创建可重复使用的过滤器
Feature7,706,Text,,"● Safe, secure and private local data storage (no data collection) always encrypted with optional 2-factor password protection and easily block apps or websites from your tracker",● オプションの 2 要素パスワード保護で常に暗号化された、安全かつプライベートなローカル データ ストレージ (データ収集なし) で、トラッカーからアプリや Web サイトを簡単にブロックできます。,● 安全、可靠且私密的本地数据存储（无数据收集）始终使用可选的两因素密码保护进行加密，并轻松阻止应用程序或网站访问您的智能设备
Feature8,707,Text,,"● Extensive drag-and-drop support, custom global shortcuts, routing and mouse-free navigation",● 広範なドラッグ アンド ドロップのサポート、カスタム グローバル ショートカット、ルーティング、マウス不要のナビゲーション,● 广泛的拖放支持、自定义全局快捷键、路由和无鼠标导航
Feature9,708,Text,,● Custom mouse modes: right-click paste and left-click auto-copy,● カスタム マウス モード: 右クリックで貼り付け、左クリックで自動コピー,● 自定义鼠标模式：右键粘贴、左键自动复制
Feature10,709,Text,,"● Append mode: Copying becomes 'add to' instead of 'replace' on the clipboard. Both text and files, fully customizable",● 追加モード: コピーはクリップボード上で「置換」ではなく「追加」になります。,● 附加模式：复制变为“添加到”而不是剪贴板上的“替换”。
Feature11,710,Text,,"● Sophisticated clip tracking, sources and usage with enhanced support for Firefox and Chromium-based browsers (Chrome, Edge, Brave)",● Firefox および Chromium ベースのブラウザ (Chrome、Edge、Brave) のサポートが強化された、洗練されたクリップ トラッキング、ソース、および使用法,● 复杂的剪辑跟踪、来源和使用，增强了对 Firefox 和基于 Chromium 的浏览器（Chrome、Edge、Brave）的支持
Feature12,711,Text,,"● Fully-featured clip editor with rich text (tables, lists, links, etc.) with find/replace and highlighting",● 検索/置換およびハイライト機能を備えたリッチ テキスト (表、リスト、リンクなど) を備えたフル機能のクリップ エディター,● 功能齐全的剪辑编辑器，具有富文本（表格、列表、链接等）以及查找/替换和突出显示功能
Feature13,712,Text,,"● Store your images in the secure database, ready to use as files anytime on-demand just drag-and-drop!",● 画像を安全なデータベースに保存し、ドラッグ アンド ドロップするだけでいつでもオンデマンドでファイルとして使用できるようになります。,● 将您的图像存储在安全数据库中，只需拖放即可随时按需用作文件！
Feature14,713,Text,,"● Powerful text templating for quick, dynamic pasting from your snippet collection",● スニペット コレクションから迅速かつ動的に貼り付けるための強力なテキスト テンプレート,● 强大的文本模板，可从片段集合中快速、动态地粘贴
Feature15,714,Text,,● Trigger & Action designer for custom automations and action chaining,● カスタム オートメーションとアクション チェーンのためのトリガー & アクション デザイナー,● 用于自定义自动化和动作链接的触发器和动作设计器
Feature16,715,Text,,● Simple to use and extend plugin system for both analyzing clips or read/write any format to your clipboard,● プラグイン システムの使用と拡張が簡単で、クリップの分析やクリップボードへの任意の形式の読み取り/書き込みの両方を行うことができます。,● 易于使用和扩展插件系统，用于分析剪辑或将任何格式读/写到剪贴板
Feature17,716,Text,,● Built-in plugin browser with an ever-growing community-driven library of plugins,● 成長を続けるコミュニティ主導のプラグイン ライブラリを備えた組み込みプラグイン ブラウザ,● 内置插件浏览器，具有不断增长的社区驱动插件库
Feature18,717,Text,,"● Automate everything with plugin presets, stash and use your any of your AI prompts or commands with ease",● プラグイン プリセットですべてを自動化し、AI プロンプトやコマンドを隠して簡単に使用できます,● 使用插件预设实现一切自动化，轻松存储和使用任何 AI 提示或命令
Feature19,718,Text,,● More platforms and features coming soon! We're just gettings started 🎉,● さらに多くのプラットフォームと機能が近日公開予定です。,● 更多平台和功能即将推出！
Feature20,719,Text,,,,
MinimumHardwareReq1,800,Text,,,,
MinimumHardwareReq2,801,Text,,,,
MinimumHardwareReq3,802,Text,,,,
MinimumHardwareReq4,803,Text,,,,
MinimumHardwareReq5,804,Text,,,,
MinimumHardwareReq6,805,Text,,,,
MinimumHardwareReq7,806,Text,,,,
MinimumHardwareReq8,807,Text,,,,
MinimumHardwareReq9,808,Text,,,,
MinimumHardwareReq10,809,Text,,,,
MinimumHardwareReq11,810,Text,,,,
RecommendedHardwareReq1,850,Text,,,,
RecommendedHardwareReq2,851,Text,,,,
RecommendedHardwareReq3,852,Text,,,,
RecommendedHardwareReq4,853,Text,,,,
RecommendedHardwareReq5,854,Text,,,,
RecommendedHardwareReq6,855,Text,,,,
RecommendedHardwareReq7,856,Text,,,,
RecommendedHardwareReq8,857,Text,,,,
RecommendedHardwareReq9,858,Text,,,,
RecommendedHardwareReq10,859,Text,,,,
RecommendedHardwareReq11,860,Text,,,,
SearchTerm1,900,Text,,clipboard manager,clipboard manager,clipboard manager
SearchTerm2,901,Text,,copy,コピー,复制
SearchTerm3,902,Text,,paste,ペースト,粘贴
SearchTerm4,903,Text,,clipboard manager,クリップボードマネージャー,剪贴板管理器
SearchTerm5,904,Text,,tool,道具,工具
SearchTerm6,905,Text,,utility,ユーティリティ,公用事业
SearchTerm7,906,Text,,automation,オートメーション,自动化
